id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1cSmtCnzmOXKu0pRwQRAZz,BlackCrown,50.0,238506,,2,track,2021-10-21,HistoryOfKingdomPtIIIIvan,7,0p5Ot7c8cFHtS82hd1WBN3,KINGDOM,0.589,0.455,0.896,,2.0,0.171,-3.136,,0.0753,79.988,4,0.337
65aiZeH9Uld7iFC4w24tiR,BeThereForYou,59.0,223880,,9,track,2021-05-10,HotSauceThe1stAlbum,10,1gBUSTR3TyDdTVFIaQnc02,NCTDREAM,0.71,0.427,0.4,,1.0,0.195,-5.308,,0.032,175.876,4,0.338
0YvAbxUMGt5ux7jgHqSeuy,YearsGoBy,46.0,179986,True,1,track,2021-02-26,ANNIVERSARYDeluxe,15,2EMAnMvWE2eb56ToJVfCWs,BrysonTiller,0.0279,0.366,0.577,5.78e-06,1.0,0.558,-7.085,1.0,0.302,184.207,4,0.0652
1c3WMOE7Q0dCFN6bjT8KWo,EVERESTwithSamKim,52.0,195882,,7,track,2021-07-26,NEXTEPISODE,7,6OwKE9Ez6ALxpTaKcT5ayv,AKMU,0.348,0.763,0.465,0.000874,11.0,0.101,-9.07,,0.0461,108.025,4,0.757
37iQlLWnkc5zx4bnzgNH6x,TheFeels,51.0,198053,,1,track,2021-10-01,TheFeels,6,7n2Ycct7Beij7Dj7meI4X0,TWICE,0.0899,0.808,0.903,,9.0,0.0816,-2.179,1.0,0.0729,120.044,4,0.922
0NhHFXC06r5kK1rTUuOjxM,DementefeatGuaynaa,53.0,163799,,13,track,2021-02-15,Querencia,21,2PSJ6YriU7JsFucxACpU7Y,CHUNGHA,0.0398,0.802,0.851,0.000335,7.0,0.0618,-1.756,1.0,0.0563,100.019,4,0.697
4IQaBvlHjZrpZrIKWXuBxh,X,50.0,255496,,17,track,2021-02-15,Querencia,21,2PSJ6YriU7JsFucxACpU7Y,CHUNGHA,0.351,0.413,0.868,,5.0,0.498,-3.427,1.0,0.0482,137.936,4,0.396
73ND9EgLxCG4abSmc4z9ww,GHOST,52.0,212400,,1,track,2021-10-26,DreamsAlive,4,3ILvL0HM0cST4iR8RzQh2V,DreamNote,0.0219,0.614,0.898,,7.0,0.176,-1.801,,0.0718,97.017,4,0.632
43uSqUWM5x2KlUi88MLhe7,Dreamer,46.0,209160,,13,track,2021-10-25,FavoriteThe3rdAlbumRepackage,14,7f4ignuCJhLXfZ9giKT7rH,NCT127,0.292,0.843,0.762,,5.0,0.042,-2.121,,0.112,109.038,4,0.907
3t1ER453jBfBfaOjzH2ZSR,RoadTrip,46.0,215053,,12,track,2021-10-25,FavoriteThe3rdAlbumRepackage,14,7f4ignuCJhLXfZ9giKT7rH,NCT127,0.123,0.75,0.538,,5.0,0.0937,-4.866,,0.036,87.992,4,0.434
